workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/LunarLander-v3/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup1000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/PEBBLE_maxfeed1400_Rbatch128_seed1
| train          | E: 29 | S: 3072 | R: -4.30 | TR: -537.25 | TF: 128 | LR: 128 | NR: 0 | D: 36.3 s | TD: 1100.2 s | BR: 0.01 | ALOSS: -0.55 | CLOSS: 0.00 | TLOSS: 0.25 | TVAL: 0.08 | AENT: 1.09 | BCLOSS: 0.00
| train          | E: 30 | S: 3181 | R: 6.18 | TR: -443.93 | TF: 128 | LR: 128 | NR: 0 | D: 36.0 s | TD: 1136.2 s | BR: 0.01 | ALOSS: -0.58 | CLOSS: 0.01 | TLOSS: 0.25 | TVAL: 0.08 | AENT: 1.09 | BCLOSS: 0.00
| train          | E: 31 | S: 3277 | R: 8.16 | TR: -448.96 | TF: 128 | LR: 128 | NR: 0 | D: 31.9 s | TD: 1168.1 s | BR: 0.01 | ALOSS: -0.61 | CLOSS: 0.01 | TLOSS: 0.25 | TVAL: 0.08 | AENT: 1.08 | BCLOSS: 0.00
| train          | E: 32 | S: 3394 | R: 5.14 | TR: -272.55 | TF: 128 | LR: 128 | NR: 0 | D: 38.9 s | TD: 1207.0 s | BR: 0.01 | ALOSS: -0.65 | CLOSS: 0.01 | TLOSS: 0.24 | TVAL: 0.08 | AENT: 1.08 | BCLOSS: 0.00
| train          | E: 33 | S: 3503 | R: 2.29 | TR: -582.94 | TF: 128 | LR: 128 | NR: 0 | D: 36.2 s | TD: 1243.3 s | BR: 0.01 | ALOSS: -0.68 | CLOSS: 0.01 | TLOSS: 0.24 | TVAL: 0.08 | AENT: 1.07 | BCLOSS: 0.00
| train          | E: 34 | S: 3615 | R: 7.26 | TR: -463.46 | TF: 128 | LR: 128 | NR: 0 | D: 37.1 s | TD: 1280.3 s | BR: 0.02 | ALOSS: -0.71 | CLOSS: 0.01 | TLOSS: 0.24 | TVAL: 0.08 | AENT: 1.06 | BCLOSS: 0.00
| train          | E: 35 | S: 3743 | R: 2.00 | TR: -595.61 | TF: 128 | LR: 128 | NR: 0 | D: 41.8 s | TD: 1322.1 s | BR: 0.02 | ALOSS: -0.74 | CLOSS: 0.01 | TLOSS: 0.23 | TVAL: 0.08 | AENT: 1.06 | BCLOSS: 0.00
| train          | E: 36 | S: 3856 | R: 17.99 | TR: -18.56 | TF: 128 | LR: 128 | NR: 0 | D: 37.4 s | TD: 1359.6 s | BR: 0.02 | ALOSS: -0.78 | CLOSS: 0.01 | TLOSS: 0.23 | TVAL: 0.08 | AENT: 1.04 | BCLOSS: 0.00
| train          | E: 37 | S: 3960 | R: 9.32 | TR: -161.59 | TF: 128 | LR: 128 | NR: 0 | D: 34.7 s | TD: 1394.3 s | BR: 0.02 | ALOSS: -0.81 | CLOSS: 0.01 | TLOSS: 0.23 | TVAL: 0.08 | AENT: 1.03 | BCLOSS: 0.00
| train          | E: 38 | S: 4111 | R: -0.17 | TR: -501.17 | TF: 128 | LR: 128 | NR: 0 | D: 49.9 s | TD: 1444.1 s | BR: 0.02 | ALOSS: -0.85 | CLOSS: 0.01 | TLOSS: 0.22 | TVAL: 0.07 | AENT: 1.02 | BCLOSS: 0.00
| train          | E: 39 | S: 4226 | R: 12.83 | TR: -46.33 | TF: 128 | LR: 128 | NR: 0 | D: 37.6 s | TD: 1481.7 s | BR: 0.02 | ALOSS: -0.89 | CLOSS: 0.01 | TLOSS: 0.22 | TVAL: 0.07 | AENT: 1.01 | BCLOSS: 0.00
| train          | E: 40 | S: 4339 | R: 6.01 | TR: -418.73 | TF: 128 | LR: 128 | NR: 0 | D: 37.3 s | TD: 1518.9 s | BR: 0.02 | ALOSS: -0.92 | CLOSS: 0.01 | TLOSS: 0.22 | TVAL: 0.07 | AENT: 1.00 | BCLOSS: 0.00
| train          | E: 41 | S: 4443 | R: 5.06 | TR: -542.09 | TF: 128 | LR: 128 | NR: 0 | D: 34.8 s | TD: 1553.7 s | BR: 0.02 | ALOSS: -0.95 | CLOSS: 0.01 | TLOSS: 0.21 | TVAL: 0.07 | AENT: 0.98 | BCLOSS: 0.00
| train          | E: 42 | S: 4542 | R: 9.43 | TR: -342.66 | TF: 128 | LR: 128 | NR: 0 | D: 33.1 s | TD: 1586.9 s | BR: 0.02 | ALOSS: -0.97 | CLOSS: 0.01 | TLOSS: 0.21 | TVAL: 0.07 | AENT: 0.98 | BCLOSS: 0.00
| train          | E: 43 | S: 4650 | R: 0.71 | TR: -411.84 | TF: 128 | LR: 128 | NR: 0 | D: 35.9 s | TD: 1622.8 s | BR: 0.02 | ALOSS: -0.99 | CLOSS: 0.01 | TLOSS: 0.21 | TVAL: 0.07 | AENT: 0.98 | BCLOSS: 0.00
| train          | E: 44 | S: 4747 | R: 1.15 | TR: -544.72 | TF: 128 | LR: 128 | NR: 0 | D: 31.9 s | TD: 1654.7 s | BR: 0.03 | ALOSS: -1.02 | CLOSS: 0.01 | TLOSS: 0.21 | TVAL: 0.07 | AENT: 0.97 | BCLOSS: 0.00
| train          | E: 45 | S: 4859 | R: 7.18 | TR: -378.85 | TF: 128 | LR: 128 | NR: 0 | D: 37.1 s | TD: 1691.9 s | BR: 0.03 | ALOSS: -1.05 | CLOSS: 0.01 | TLOSS: 0.21 | TVAL: 0.07 | AENT: 0.96 | BCLOSS: 0.00
| train          | E: 46 | S: 4972 | R: 9.28 | TR: -396.96 | TF: 128 | LR: 128 | NR: 0 | D: 37.4 s | TD: 1729.2 s | BR: 0.03 | ALOSS: -1.09 | CLOSS: 0.01 | TLOSS: 0.20 | TVAL: 0.07 | AENT: 0.95 | BCLOSS: 0.00
| train          | E: 47 | S: 5082 | R: 13.10 | TR: -245.86 | TF: 128 | LR: 128 | NR: 0 | D: 36.9 s | TD: 1766.2 s | BR: 0.03 | ALOSS: -1.13 | CLOSS: 0.01 | TLOSS: 0.20 | TVAL: 0.07 | AENT: 0.94 | BCLOSS: 0.00
| train          | E: 48 | S: 5191 | R: 17.23 | TR: -29.24 | TF: 128 | LR: 128 | NR: 0 | D: 35.7 s | TD: 1801.8 s | BR: 0.03 | ALOSS: -1.16 | CLOSS: 0.01 | TLOSS: 0.20 | TVAL: 0.07 | AENT: 0.93 | BCLOSS: 0.00
