workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/LunarLander-v3/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/PEBBLE_maxfeed1400_Rbatch128_seed1
| train          | E: 28 | S: 2808 | R: 1.23 | TR: -481.60 | TF: 0 | LR: 0 | NR: 0 | D: 51.6 s | TD: 738.4 s | BR: 0.01 | ALOSS: -3.22 | CLOSS: 1.13 | TLOSS: 0.22 | TVAL: 0.09 | AENT: 0.58 | BCLOSS: 0.00
| train          | E: 29 | S: 2896 | R: 0.59 | TR: -335.97 | TF: 0 | LR: 0 | NR: 0 | D: 41.6 s | TD: 780.1 s | BR: 0.01 | ALOSS: -3.43 | CLOSS: 2.51 | TLOSS: 0.21 | TVAL: 0.08 | AENT: 0.54 | BCLOSS: 0.00
| train          | E: 30 | S: 3066 | R: 0.80 | TR: -361.74 | TF: 0 | LR: 0 | NR: 0 | D: 82.1 s | TD: 862.1 s | BR: 0.01 | ALOSS: -3.81 | CLOSS: 3.15 | TLOSS: 0.21 | TVAL: 0.08 | AENT: 0.46 | BCLOSS: 0.00
| train          | E: 31 | S: 3207 | R: 0.05 | TR: -498.79 | TF: 0 | LR: 0 | NR: 0 | D: 69.7 s | TD: 931.8 s | BR: 0.01 | ALOSS: -4.65 | CLOSS: 4.55 | TLOSS: 0.20 | TVAL: 0.08 | AENT: 0.38 | BCLOSS: 0.00
| train          | E: 32 | S: 3290 | R: 1.43 | TR: -414.75 | TF: 0 | LR: 0 | NR: 0 | D: 41.4 s | TD: 973.2 s | BR: 0.01 | ALOSS: -4.84 | CLOSS: 4.16 | TLOSS: 0.20 | TVAL: 0.08 | AENT: 0.40 | BCLOSS: 0.00
| train          | E: 33 | S: 3364 | R: 1.11 | TR: -464.54 | TF: 0 | LR: 0 | NR: 0 | D: 37.2 s | TD: 1010.4 s | BR: 0.01 | ALOSS: -5.02 | CLOSS: 5.01 | TLOSS: 0.19 | TVAL: 0.08 | AENT: 0.30 | BCLOSS: 0.00
| train          | E: 34 | S: 3452 | R: 0.53 | TR: -109.48 | TF: 0 | LR: 0 | NR: 0 | D: 44.2 s | TD: 1054.6 s | BR: 0.01 | ALOSS: -5.18 | CLOSS: 4.58 | TLOSS: 0.18 | TVAL: 0.08 | AENT: 0.26 | BCLOSS: 0.00
| train          | E: 35 | S: 3529 | R: 0.81 | TR: -433.94 | TF: 0 | LR: 0 | NR: 0 | D: 39.4 s | TD: 1094.0 s | BR: 0.01 | ALOSS: -5.35 | CLOSS: 4.65 | TLOSS: 0.18 | TVAL: 0.08 | AENT: 0.25 | BCLOSS: 0.00
| train          | E: 36 | S: 3599 | R: 0.18 | TR: -734.64 | TF: 0 | LR: 0 | NR: 0 | D: 35.8 s | TD: 1129.8 s | BR: 0.01 | ALOSS: -5.59 | CLOSS: 5.09 | TLOSS: 0.17 | TVAL: 0.08 | AENT: 0.20 | BCLOSS: 0.00
| train          | E: 37 | S: 3672 | R: 0.20 | TR: -682.77 | TF: 0 | LR: 0 | NR: 0 | D: 37.6 s | TD: 1167.3 s | BR: 0.01 | ALOSS: -5.74 | CLOSS: 4.87 | TLOSS: 0.17 | TVAL: 0.08 | AENT: 0.18 | BCLOSS: 0.00
| train          | E: 38 | S: 3749 | R: 0.43 | TR: -202.94 | TF: 0 | LR: 0 | NR: 0 | D: 40.4 s | TD: 1207.7 s | BR: 0.01 | ALOSS: -5.92 | CLOSS: 6.40 | TLOSS: 0.17 | TVAL: 0.08 | AENT: 0.16 | BCLOSS: 0.00
