workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/Pendulum-v1/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/PEBBLE_maxfeed1400_Rbatch128_seed1
| train          | E: 25 | S: 5000 | R: 10.32 | TR: -1192.34 | TF: 0 | LR: 0 | NR: 0 | D: 72.8 s | TD: 1103.4 s | BR: 0.05 | ALOSS: -18.52 | CLOSS: 0.40 | TLOSS: 0.09 | TVAL: 0.07 | AENT: 0.30 | BCLOSS: 0.00
| train          | E: 26 | S: 5200 | R: 10.43 | TR: -1183.23 | TF: 0 | LR: 0 | NR: 0 | D: 74.9 s | TD: 1178.3 s | BR: 0.05 | ALOSS: -19.38 | CLOSS: 0.38 | TLOSS: 0.09 | TVAL: 0.07 | AENT: 0.26 | BCLOSS: 0.00
| train          | E: 27 | S: 5400 | R: 10.68 | TR: -1076.45 | TF: 0 | LR: 0 | NR: 0 | D: 76.8 s | TD: 1255.1 s | BR: 0.05 | ALOSS: -20.24 | CLOSS: 0.37 | TLOSS: 0.08 | TVAL: 0.07 | AENT: 0.24 | BCLOSS: 0.00
| train          | E: 28 | S: 5600 | R: 10.71 | TR: -1076.26 | TF: 0 | LR: 0 | NR: 0 | D: 78.8 s | TD: 1334.0 s | BR: 0.05 | ALOSS: -21.05 | CLOSS: 0.36 | TLOSS: 0.08 | TVAL: 0.07 | AENT: 0.20 | BCLOSS: 0.00
| train          | E: 29 | S: 5800 | R: 10.10 | TR: -1199.37 | TF: 0 | LR: 0 | NR: 0 | D: 80.7 s | TD: 1414.6 s | BR: 0.05 | ALOSS: -21.92 | CLOSS: 0.35 | TLOSS: 0.08 | TVAL: 0.07 | AENT: 0.17 | BCLOSS: 0.00
| train          | E: 30 | S: 6000 | R: 10.76 | TR: -1054.31 | TF: 0 | LR: 0 | NR: 0 | D: 82.5 s | TD: 1497.1 s | BR: 0.05 | ALOSS: -22.80 | CLOSS: 0.33 | TLOSS: 0.07 | TVAL: 0.06 | AENT: 0.14 | BCLOSS: 0.00
| train          | E: 31 | S: 6200 | R: 10.70 | TR: -1034.03 | TF: 0 | LR: 0 | NR: 0 | D: 84.6 s | TD: 1581.7 s | BR: 0.05 | ALOSS: -23.66 | CLOSS: 0.33 | TLOSS: 0.07 | TVAL: 0.06 | AENT: 0.11 | BCLOSS: 0.00
| train          | E: 32 | S: 6400 | R: 10.72 | TR: -974.93 | TF: 0 | LR: 0 | NR: 0 | D: 86.7 s | TD: 1668.4 s | BR: 0.05 | ALOSS: -24.53 | CLOSS: 0.32 | TLOSS: 0.07 | TVAL: 0.06 | AENT: 0.08 | BCLOSS: 0.00
| train          | E: 33 | S: 6600 | R: 10.90 | TR: -970.52 | TF: 0 | LR: 0 | NR: 0 | D: 88.5 s | TD: 1756.9 s | BR: 0.05 | ALOSS: -25.41 | CLOSS: 0.33 | TLOSS: 0.06 | TVAL: 0.06 | AENT: 0.05 | BCLOSS: 0.00
| train          | E: 34 | S: 6800 | R: 10.78 | TR: -967.72 | TF: 0 | LR: 0 | NR: 0 | D: 90.6 s | TD: 1847.6 s | BR: 0.05 | ALOSS: -26.25 | CLOSS: 0.32 | TLOSS: 0.06 | TVAL: 0.06 | AENT: 0.01 | BCLOSS: 0.00
