workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/LunarLander-v3/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/Value_lambda_0.1_maxfeed1400_Rbatch128_seed1
| train          | E: 29 | S: 2974 | R: 1.02 | TR: -272.44 | TF: 0 | LR: 0 | NR: 0 | D: 50.1 s | TD: 852.4 s | BR: 0.01 | ALOSS: -3.28 | CLOSS: 1.37 | TLOSS: 0.22 | TVAL: 0.08 | AENT: 0.67 | BCLOSS: 0.00
| train          | E: 30 | S: 3049 | R: 0.59 | TR: -444.37 | TF: 0 | LR: 0 | NR: 0 | D: 36.6 s | TD: 888.9 s | BR: 0.01 | ALOSS: -3.46 | CLOSS: 1.39 | TLOSS: 0.22 | TVAL: 0.08 | AENT: 0.64 | BCLOSS: 0.00
| train          | E: 31 | S: 3128 | R: 0.39 | TR: -122.39 | TF: 0 | LR: 0 | NR: 0 | D: 38.6 s | TD: 927.5 s | BR: 0.01 | ALOSS: -3.59 | CLOSS: 1.60 | TLOSS: 0.22 | TVAL: 0.08 | AENT: 0.64 | BCLOSS: 0.00
| train          | E: 32 | S: 3227 | R: 0.11 | TR: -338.07 | TF: 0 | LR: 0 | NR: 0 | D: 48.8 s | TD: 976.4 s | BR: 0.01 | ALOSS: -3.73 | CLOSS: 1.53 | TLOSS: 0.21 | TVAL: 0.08 | AENT: 0.59 | BCLOSS: 0.00
| train          | E: 33 | S: 3328 | R: 0.72 | TR: -376.52 | TF: 0 | LR: 0 | NR: 0 | D: 50.2 s | TD: 1026.6 s | BR: 0.01 | ALOSS: -3.90 | CLOSS: 1.43 | TLOSS: 0.21 | TVAL: 0.08 | AENT: 0.56 | BCLOSS: 0.00
| train          | E: 34 | S: 3415 | R: 0.71 | TR: -567.17 | TF: 0 | LR: 0 | NR: 0 | D: 43.8 s | TD: 1070.4 s | BR: 0.01 | ALOSS: -4.03 | CLOSS: 1.43 | TLOSS: 0.21 | TVAL: 0.08 | AENT: 0.58 | BCLOSS: 0.00
| train          | E: 35 | S: 3511 | R: 0.55 | TR: -635.21 | TF: 0 | LR: 0 | NR: 0 | D: 48.4 s | TD: 1118.8 s | BR: 0.01 | ALOSS: -4.24 | CLOSS: 1.75 | TLOSS: 0.20 | TVAL: 0.08 | AENT: 0.56 | BCLOSS: 0.00
| train          | E: 36 | S: 3608 | R: 0.87 | TR: -392.77 | TF: 0 | LR: 0 | NR: 0 | D: 50.1 s | TD: 1168.9 s | BR: 0.01 | ALOSS: -4.47 | CLOSS: 2.14 | TLOSS: 0.20 | TVAL: 0.08 | AENT: 0.55 | BCLOSS: 0.00
| train          | E: 37 | S: 3683 | R: 1.02 | TR: -409.28 | TF: 0 | LR: 0 | NR: 0 | D: 38.8 s | TD: 1207.7 s | BR: 0.01 | ALOSS: -4.63 | CLOSS: 2.26 | TLOSS: 0.20 | TVAL: 0.08 | AENT: 0.53 | BCLOSS: 0.00
| train          | E: 38 | S: 3750 | R: 0.48 | TR: -589.14 | TF: 0 | LR: 0 | NR: 0 | D: 34.7 s | TD: 1242.4 s | BR: 0.01 | ALOSS: -4.78 | CLOSS: 1.97 | TLOSS: 0.20 | TVAL: 0.08 | AENT: 0.50 | BCLOSS: 0.00
